s_m,x_m,y_m,theta_rad,w_m
315.0,292038.46981508,5315497.039872594,0.6929643768257026,12.0
320.0,292042.3165935449,5315500.233975824,0.6929643768973545,12.0
325.0,292046.1633720098,5315503.428079054,0.6929643768973545,12.0
330.0,292050.0101504747,5315506.622182284,0.692964376893636,12.0
335.0,292053.8569289397,5315509.816285513,0.37961926205481766,12.0
340.0,292058.8281944364,5315510.140328846,0.05946993158508957,12.0
345.0,292063.82094148465,5315510.40954421,0.0538691227579265,12.0
350.0,292068.81368853286,5315510.678759575,0.0538691227579265,12.0
355.0,292073.8064355811,5315510.947974939,0.050050666177542114,12.0
360.0,292078.79653713986,5315511.178825434,-0.07272177493785582,12.0
365.0,292083.7050761583,5315510.226856577,-0.1915632395161285,12.0
370.0,292088.61361517664,5315509.27488772,-0.1915632395161285,12.0
375.0,292093.52215419506,5315508.322918863,-0.19156323951502024,12.0
380.0,292098.4306932135,5315507.370950006,-0.19156323951502024,12.0
385.0,292103.3392322319,5315506.418981149,-0.25467332419787203,12.0
390.0,292107.98865496804,5315504.882764747,-0.4829239486637508,12.0
395.0,292111.9892141636,5315501.883510486,-0.6433146871084485,12.0
400.0,292115.98977335915,5315498.884256225,-0.6433146871864562,12.0
405.0,292119.9903325547,5315495.885001963,-0.6433146871864562,12.0
410.0,292123.9908917502,5315492.885747702,-0.6433146871119401,12.0
415.0,292127.99145094573,5315489.886493441,-0.784617583132252,12.0
420.0,292130.9673944717,5315485.920127928,-0.9562783510343553,12.0
425.0,292133.73083972035,5315481.753190161,-0.9852088785556846,12.0
430.0,292136.49428496894,5315477.586252393,-0.9852088785556846,12.0
435.0,292139.2577302176,5315473.419314626,-1.1214584081478642,12.0
440.0,292140.7666101589,5315468.726895576,-1.3117479733890391,12.0
445.0,292141.79776509287,5315463.834378893,-1.3630747557068512,12.0
450.0,292142.82892002683,5315458.941862208,-1.3630747557125469,12.0
455.0,292143.86007496074,5315454.049345524,-1.3630747556933402,12.0
460.0,292144.8912298947,5315449.15682884,-1.3630747556876446,12.0
465.0,292145.9223848287,5315444.2643121565,-1.5239574407491052,12.0
470.0,292145.3423813623,5315439.53188826,-1.8380688465966757,12.0
475.0,292143.3686052964,5315434.937956606,-1.9765977384932858,12.0
480.0,292141.39482923056,5315430.344024952,-1.9765977384932858,12.0
485.0,292139.4210531647,5315425.750093298,-1.9765977384986337,12.0
490.0,292137.4472770988,5315421.156161644,-1.9765977384986337,12.0
495.0,292135.4735010329,5315416.56222999,-2.0291001827709363,12.0
500.0,292133.0537776554,5315412.250504588,-2.188394549365347,12.0
505.0,292129.7470527663,5315408.500095208,-2.2934067813772514,12.0
510.0,292126.44032787724,5315404.7496858295,-2.293406781438844,12.0
515.0,292123.13360298815,5315400.999276451,-2.2934067814432098,12.0
520.0,292119.826878099,5315397.248867072,-2.2934067814432098,12.0
525.0,292116.5201532099,5315393.4984576935,-2.293406781438844,12.0
530.0,292113.2134283208,5315389.748048315,-2.293406781438844,12.0
535.0,292109.90670343174,5315385.997638936,-2.293406781438844,12.0
540.0,292106.59997854265,5315382.2472295575,-2.2934067814432098,12.0
545.0,292103.2932536535,5315378.496820179,-2.2934067814432098,12.0
550.0,292099.9865287644,5315374.7464108,-2.293406781438844,12.0
555.0,292096.67980387533,5315370.9960014215,-2.293406781438844,12.0
560.0,292093.37307898625,5315367.245592043,-2.2934067814432098,12.0
565.0,292090.0663540971,5315363.495182664,-2.2934067814432098,12.0
570.0,292086.759629208,5315359.744773285,-2.34254334172959,12.0
575.0,292083.10164048895,5315356.337672506,-2.3938836718290615,12.0
580.0,292079.4279516295,5315352.945916301,-2.3960763599673935,12.0
585.0,292075.7542627701,5315349.554160094,-2.396076359898966,12.0
590.0,292072.0805739107,5315346.162403887,-2.396076359971342,12.0
595.0,292068.4068850512,5315342.770647681,-2.3960763599673935,12.0
600.0,292064.73319619184,5315339.378891475,-2.396076359898966,12.0
605.0,292061.0595073324,5315335.987135268,-2.396076359971342,12.0
610.0,292057.38581847295,5315332.595379062,-2.3960763599673935,12.0
615.0,292053.71212961356,5315329.203622855,-2.396076359898966,12.0
620.0,292050.0384407541,5315325.8118666485,-2.396076359898966,12.0
625.0,292046.3647518947,5315322.420110442,-2.3960763599673935,12.0
630.0,292042.6910630353,5315319.028354236,-2.396076359971342,12.0
635.0,292039.01737417583,5315315.636598029,-2.396076359898966,12.0
640.0,292035.34368531645,5315312.244841822,-2.3960763599673935,12.0
645.0,292031.669996457,5315308.853085617,-2.396076359971342,12.0
650.0,292027.99630759755,5315305.46132941,-2.4231525252655213,12.0
655.0,292024.14913757495,5315302.277509437,-2.473391887963397,12.0
660.0,292020.153940844,5315299.271115736,-2.4964921597686027,12.0
665.0,292016.15874411305,5315296.264722036,-2.496492159843019,12.0
670.0,292012.1635473821,5315293.258328336,-2.4964921597686027,12.0
675.0,292008.16835065116,5315290.251934635,-2.4964921597721026,12.0
680.0,292004.17315392016,5315287.245540936,-2.496492159846519,12.0
685.0,292000.1779571892,5315284.239147236,-2.4964921597686027,12.0
690.0,291996.18276045826,5315281.232753535,-2.4964921597686027,12.0
695.0,291992.1875637273,5315278.226359835,-2.4964921597686027,12.0
700.0,291988.1923669964,5315275.219966134,-2.4964921597721026,12.0
705.0,291984.19717026537,5315272.213572434,-2.496492159846519,12.0
710.0,291980.2019735344,5315269.207178734,-2.4964921597686027,12.0
715.0,291976.2067768035,5315266.200785033,-2.4964921597686027,12.0
720.0,291972.21158007253,5315263.1943913335,-2.496492159843019,12.0
725.0,291968.2163833416,5315260.187997634,-2.4964921597721026,12.0
730.0,291964.2211866106,5315257.181603933,-2.4964921597721026,12.0
735.0,291960.22598987963,5315254.175210233,-2.4964921597686027,12.0
740.0,291956.2307931487,5315251.168816532,-2.4964921597686027,12.0
745.0,291952.23559641774,5315248.162422832,-2.494542296828848,12.0
750.0,291948.25238715165,5315245.140647908,-2.4776158896976823,12.0
755.0,291944.36123182083,5315242.000757752,-2.462640334261106,12.0
760.0,291940.47007649,5315238.860867596,-2.462640334261106,12.0
765.0,291936.5789211592,5315235.7209774405,-2.462640334188628,12.0
770.0,291932.6877658284,5315232.581087284,-2.462640334188628,12.0
775.0,291928.7966104976,5315229.441197128,-2.462640334261106,12.0
780.0,291924.90545516677,5315226.301306972,-2.462640334261106,12.0
785.0,291921.01429983595,5315223.1614168165,-2.462640334188628,12.0
790.0,291917.12314450514,5315220.02152666,-2.462640334188628,12.0
795.0,291913.2319891743,5315216.881636504,-2.462640334261106,12.0
800.0,291909.3408338435,5315213.741746348,-2.462640334261106,12.0
805.0,291905.4496785127,5315210.601856193,-2.412210287672045,12.0
810.0,291901.9555304135,5315207.140718862,-2.198918152293777,12.0
815.0,291899.6965685759,5315202.680103275,-2.0395697494744005,12.0
820.0,291897.43760673836,5315198.2194876885,-2.0395697494744005,12.0
825.0,291895.1786449008,5315193.758872101,-1.9863860766210162,12.0
830.0,291893.43035803054,5315189.138791942,-1.8192718382396642,12.0
835.0,291892.74966194667,5315184.185343361,-1.7073596215590054,12.0
840.0,291892.0689658628,5315179.231894781,-1.7073596215463267,12.0
845.0,291891.3882697789,5315174.278446199,-1.7073596215463267,12.0
850.0,291890.70757369505,5315169.324997619,-1.4615700555332167,12.0
855.0,291892.43397171784,5315164.742827381,-1.1688887898419245,12.0
860.0,291894.5755952838,5315160.224702936,-1.128158328942163,12.0
